"district_id","province_id","district","kd_area"
"1101","11","KABUPATEN SIMEULUE","0650"
"1102","11","KABUPATEN ACEH SINGKIL","0658"
"1103","11","KABUPATEN ACEH SELATAN","0656"
"1104","11","KABUPATEN ACEH TENGGARA","0629"
"1105","11","KABUPATEN ACEH TIMUR",NULL
"1106","11","KABUPATEN ACEH TENGAH","0643"
"1107","11","KABUPATEN ACEH BARAT","0655"
"1108","11","KABUPATEN ACEH BESAR","0651"
"1109","11","KABUPATEN PIDIE","0653"
"1110","11","KABUPATEN BIREUEN","0644"
"1111","11","KABUPATEN ACEH UTARA","0645"
"1112","11","KABUPATEN ACEH BARAT DAYA",NULL
"1113","11","KABUPATEN GAYO LUES",NULL
"1114","11","KABUPATEN ACEH TAMIANG",NULL
"1115","11","KABUPATEN NAGAN RAYA",NULL
"1116","11","KABUPATEN ACEH JAYA",NULL
"1117","11","KABUPATEN BENER MERIAH",NULL
"1118","11","KABUPATEN PIDIE JAYA",NULL
"1171","11","KOTA BANDA ACEH","0651"
"1172","11","KOTA SABANG","0652"
"1173","11","KOTA LANGSA","0641"
"1174","11","KOTA LHOKSEUMAWE","0645"
"1175","11","KOTA SUBULUSSALAM",NULL
"1201","12","KABUPATEN NIAS","0639"
"1202","12","KABUPATEN MANDAILING NATAL","0636"
"1203","12","KABUPATEN TAPANULI SELATAN","0634"
"1204","12","KABUPATEN TAPANULI TENGAH","0631"
"1205","12","KABUPATEN TAPANULI UTARA","0633"
"1206","12","KABUPATEN TOBA SAMOSIR","0632"
"1207","12","KABUPATEN LABUHAN BATU","0642"
"1208","12","KABUPATEN ASAHAN","0623"
"1209","12","KABUPATEN SIMALUNGUN","0622"
"1210","12","KABUPATEN DAIRI","0627"
"1211","12","KABUPATEN KARO","0628"
"1212","12","KABUPATEN DELI SERDANG","061"
"1213","12","KABUPATEN LANGKAT","061"
"1214","12","KABUPATEN NIAS SELATAN",NULL
"1215","12","KABUPATEN HUMBANG HASUNDUTAN",NULL
"1216","12","KABUPATEN PAKPAK BHARAT",NULL
"1217","12","KABUPATEN SAMOSIR",NULL
"1218","12","KABUPATEN SERDANG BEDAGAI",NULL
"1219","12","KABUPATEN BATU BARA",NULL
"1220","12","KABUPATEN PADANG LAWAS UTARA",NULL
"1221","12","KABUPATEN PADANG LAWAS",NULL
"1222","12","KABUPATEN LABUHAN BATU SELATAN",NULL
"1223","12","KABUPATEN LABUHAN BATU UTARA",NULL
"1224","12","KABUPATEN NIAS UTARA",NULL
"1225","12","KABUPATEN NIAS BARAT",NULL
"1271","12","KOTA SIBOLGA","0631"
"1272","12","KOTA TANJUNG BALAI","0623"
"1273","12","KOTA PEMATANG SIANTAR","0622"
"1274","12","KOTA TEBING TINGGI","0621"
"1275","12","KOTA MEDAN","061"
"1276","12","KOTA BINJAI","061"
"1277","12","KOTA PADANGSIDIMPUAN",NULL
"1278","12","KOTA GUNUNGSITOLI",NULL
"1301","13","KABUPATEN KEPULAUAN MENTAWAI","0751"
"1302","13","KABUPATEN PESISIR SELATAN","0756"
"1303","13","KABUPATEN SOLOK","0755"
"1304","13","KABUPATEN SIJUNJUNG",NULL
"1305","13","KABUPATEN TANAH DATAR","0752"
"1306","13","KABUPATEN PADANG PARIAMAN","0751"
"1307","13","KABUPATEN AGAM","0752"
"1308","13","KABUPATEN LIMA PULUH KOTA",NULL
"1309","13","KABUPATEN PASAMAN","0753"
"1310","13","KABUPATEN SOLOK SELATAN",NULL
"1311","13","KABUPATEN DHARMASRAYA",NULL
"1312","13","KABUPATEN PASAMAN BARAT",NULL
"1371","13","KOTA PADANG","0751"
"1372","13","KOTA SOLOK","0755"
"1373","13","KOTA SAWAH LUNTO","0754"
"1374","13","KOTA PADANG PANJANG","0752"
"1375","13","KOTA BUKITTINGGI","0752"
"1376","13","KOTA PAYAKUMBUH","0752"
"1377","13","KOTA PARIAMAN",NULL
"1401","14","KABUPATEN KUANTAN SINGINGI","0760"
"1402","14","KABUPATEN INDRAGIRI HULU","0769"
"1403","14","KABUPATEN INDRAGIRI HILIR","0768"
"1404","14","KABUPATEN PELALAWAN","0761"
"1405","14","KABUPATEN SIAK","0764"
"1406","14","KABUPATEN KAMPAR","0762"
"1407","14","KABUPATEN ROKAN HULU","0762"
"1408","14","KABUPATEN BENGKALIS","0766"
"1409","14","KABUPATEN ROKAN HILIR","0762"
"1410","14","KABUPATEN KEPULAUAN MERANTI",NULL
"1471","14","KOTA PEKANBARU","0761"
"1473","14","KOTA DUMAI","0765"
"1501","15","KABUPATEN KERINCI","0748"
"1502","15","KABUPATEN MERANGIN","0746"
"1503","15","KABUPATEN SAROLANGUN","0746"
"1504","15","KABUPATEN BATANG HARI","0743"
"1505","15","KABUPATEN MUARO JAMBI","0741"
"1506","15","KABUPATEN TANJUNG JABUNG TIMUR","0742"
"1507","15","KABUPATEN TANJUNG JABUNG BARAT","0742"
"1508","15","KABUPATEN TEBO","0744"
"1509","15","KABUPATEN BUNGO","0747"
"1571","15","KOTA JAMBI","0741"
"1572","15","KOTA SUNGAI PENUH",NULL
"1601","16","KABUPATEN OGAN KOMERING ULU","0735"
"1602","16","KABUPATEN OGAN KOMERING ILIR","0712"
"1603","16","KABUPATEN MUARA ENIM","0734"
"1604","16","KABUPATEN LAHAT","0731"
"1605","16","KABUPATEN MUSI RAWAS","0733"
"1606","16","KABUPATEN MUSI BANYUASIN","0714"
"1607","16","KABUPATEN BANYU ASIN",NULL
"1608","16","KABUPATEN OGAN KOMERING ULU SELATAN",NULL
"1609","16","KABUPATEN OGAN KOMERING ULU TIMUR",NULL
"1610","16","KABUPATEN OGAN ILIR",NULL
"1611","16","KABUPATEN EMPAT LAWANG",NULL
"1612","16","KABUPATEN PENUKAL ABAB LEMATANG ILIR",NULL
"1613","16","KABUPATEN MUSI RAWAS UTARA",NULL
"1671","16","KOTA PALEMBANG","0711"
"1672","16","KOTA PRABUMULIH",NULL
"1673","16","KOTA PAGAR ALAM",NULL
"1674","16","KOTA LUBUKLINGGAU",NULL
"1701","17","KABUPATEN BENGKULU SELATAN","0739"
"1702","17","KABUPATEN REJANG LEBONG","0732"
"1703","17","KABUPATEN BENGKULU UTARA","0737"
"1704","17","KABUPATEN KAUR",NULL
"1705","17","KABUPATEN SELUMA",NULL
"1706","17","KABUPATEN MUKOMUKO",NULL
"1707","17","KABUPATEN LEBONG",NULL
"1708","17","KABUPATEN KEPAHIANG",NULL
"1709","17","KABUPATEN BENGKULU TENGAH",NULL
"1771","17","KOTA BENGKULU","0736"
"1801","18","KABUPATEN LAMPUNG BARAT","0728"
"1802","18","KABUPATEN TANGGAMUS","0722"
"1803","18","KABUPATEN LAMPUNG SELATAN","0727"
"1804","18","KABUPATEN LAMPUNG TIMUR","0726"
"1805","18","KABUPATEN LAMPUNG TENGAH","0725"
"1806","18","KABUPATEN LAMPUNG UTARA","0724"
"1807","18","KABUPATEN WAY KANAN","0724"
"1808","18","KABUPATEN TULANGBAWANG","0726"
"1809","18","KABUPATEN PESAWARAN",NULL
"1810","18","KABUPATEN PRINGSEWU",NULL
"1811","18","KABUPATEN MESUJI",NULL
"1812","18","KABUPATEN TULANG BAWANG BARAT",NULL
"1813","18","KABUPATEN PESISIR BARAT",NULL
"1871","18","KOTA BANDAR LAMPUNG","0721"
"1872","18","KOTA METRO","0725"
"1901","19","KABUPATEN BANGKA","0717"
"1902","19","KABUPATEN BELITUNG","0719"
"1903","19","KABUPATEN BANGKA BARAT",NULL
"1904","19","KABUPATEN BANGKA TENGAH",NULL
"1905","19","KABUPATEN BANGKA SELATAN",NULL
"1906","19","KABUPATEN BELITUNG TIMUR",NULL
"1971","19","KOTA PANGKAL PINANG","0717"
"2101","21","KABUPATEN KARIMUN",NULL
"2102","21","KABUPATEN BINTAN",NULL
"2103","21","KABUPATEN NATUNA",NULL
"2104","21","KABUPATEN LINGGA",NULL
"2105","21","KABUPATEN KEPULAUAN ANAMBAS",NULL
